tarih,ticker,entry_price,stop_price,target_cup,target_bagger,last_seen_price,quant_score,regime,score_base,score_quality,score_flow,score_ignition,ret_30d,ret_90d,ret_180d,max_drawdown,peak_gain,outcome
2026-09-25,AEO,16.535,13.49,28.46,41.34,16.535,90.1,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),100.0,85.0,70.7,30.2,,,,0.0,0.0,INCUBATING
2026-09-25,VVV,29.045,25.16,41.08,72.61,29.045,86.3,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),100.0,60.0,72.9,25.6,,,,0.0,0.0,INCUBATING
2026-09-25,CRI,31.11,26.06,44.44,77.78,31.11,86.1,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),100.0,70.0,62.6,30.9,,,,0.0,0.0,INCUBATING
2026-09-25,WU,6.19,5.7,10.35,15.48,6.19,85.2,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),100.0,100.0,27.2,33.5,,,,0.0,0.0,INCUBATING
2026-09-25,RH,125.12,102.05,239.4,312.8,125.12,85.0,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),100.0,70.0,54.0,33.6,,,,0.0,0.0,INCUBATING
2026-09-25,BLBD,58.62,44.29,83.39,146.55,58.62,83.6,🦅 US KULUÇKA LİDERİ (MULTI-BAGGER),65.0,85.0,71.3,57.2,,,,0.0,0.0,INCUBATING
