ticker,close,open,high,low,volume,change_%,value_traded,high_52w,low_52w,market_cap,roe,pe,pb,perf_y,rvol,tarih,dist_from_52w_low,stop_price,target_cup,target_bagger,potansiyel_cup,mcap_milyon,score_base,score_quality,score_flow,score_ignition,quant_score,regime,score_diff,perf_1m,perf_w,sector,industry,oper_margin,tier
CALM,74.83,74.66,75.57,74.16,738672.0,0.2679887444727359,55274825.76,111.76,71.92,3510804961.6398234,12.1956592230535,11.423032301398305,1.3353383930934293,-34.46312839376424,0.8544586688678845,2026-09-08,4.0,69.04,111.76,187.07,49.4,3510.8,90.0,70.0,10.0,31.2,56.9,⚡ TABAN BİRİKTİRME (TAKİP),-13.2,-11.720639414852831,-6.169278996865206,Process Industries,Agricultural Commodities/Milling,11.7924243173588,
WING,109.45,108.7,112.38,107.7,861669.0,0.2243487019825141,94309672.05,302.8,105.43,2981696718.902523,12.0,25.986514079490952,2.0,-64.58158048022781,0.8348262472924334,2026-09-08,3.8,101.21,302.8,273.62,176.7,2981.7,100.0,55.0,10.0,30.3,52.0,⚡ TABAN BİRİKTİRME (TAKİP),52.0,-6.292808219178077,2.289719626168227,Consumer Services,Restaurants,28.7705749397477,
LNN,123.14,122.97,124.185,120.1,389967.0,-0.2026096117999838,48020536.38,148.0026,97.27,1252196520.7057295,10.7410261199838,23.624434041900084,2.508957287212855,-12.20590332240125,2.443460433268461,2026-09-08,26.6,93.38,148.0,307.85,20.2,1252.2,65.0,40.0,58.6,85.5,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,7.5270695075096095,8.207381370826013,Producer Manufacturing,Trucks/Construction/Farm Machinery,9.94766315843123,
CNXC,28.27,31.77,31.8,28.2,1698493.0,-12.0957711442786,48016397.11,57.875,19.12,1724988816.9120026,-37.7349467463115,15.0,0.6369547300253745,-47.33606557377049,1.3397187344168813,2026-09-08,47.9,18.36,57.88,70.67,104.7,1725.0,20.0,55.0,13.4,46.9,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,5.603287261860292,-5.609348914858096,Technology Services,Information Technology Services,7.37194623244907,
ATKR,93.87,93.78,93.99,93.72,509192.0,0.1173208191126273,47797853.04,94.14,53.75,3170229574.859002,-11.8668057890167,15.0,2.484056206832676,58.64458340375191,0.7824336280874113,2026-09-08,74.6,51.6,94.14,234.68,0.3,3170.2,20.0,55.0,15.6,28.0,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,0.0426302888202134,0.1814300960512291,Producer Manufacturing,Electrical Products,4.90923518680618,
RCAT,8.695,8.455,8.905,8.42,5492257.0,3.882915173237768,47755174.615,18.78,5.77,1327851302.856631,-34.4018163584331,15.0,2.8177275408157314,1.4585764294049008,0.9682567164950592,2026-09-08,50.7,5.54,18.78,21.74,116.0,1327.9,20.0,55.0,19.1,53.3,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,2.173913043478267,3.511904761904761,Technology Services,Packaged Software,-150.148167371415,
TAC,12.41,12.05,12.52,11.9813,3845689.0,3.762541806020061,47725000.49,17.8754,11.38,3925282667.8169184,-1.36904761904762,15.0,6.639338059814433,0.7305194805194793,1.79146774999448,2026-09-08,9.1,10.92,17.88,31.02,44.1,3925.3,90.0,55.0,59.3,81.5,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,-0.8785942492012735,2.6892842366570067,Utilities,Electric Utilities,-1.19152691968226,
ALMS,10.58,11.05,11.218,10.25,4490872.0,-4.684684684684681,47513425.76,31.35,3.76,1412378732.7513516,-93.6456583305333,15.0,3.006886281152393,135.11111111111111,0.8312857410070358,2026-09-08,181.4,3.61,31.35,26.45,196.3,1412.4,20.0,55.0,10.0,29.1,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,-62.21428571428572,6.545820745216519,Health Technology,Pharmaceuticals: Major,-5479.54852662882,
RZLV,2.31,2.26,2.37,2.24,20567759.0,4.524886877828059,47511523.29,8.45,2.05,921291786.3122172,-94.3637989999951,15.0,2.394104905324033,-46.279069767441854,0.5921160334861317,2026-09-08,12.7,1.97,8.45,5.78,265.8,921.3,100.0,55.0,11.3,43.3,0.0,⚠️ SAHTE KÂR (FAALİYET KÂRI YETERSİZ),0.0,-13.805970149253737,-8.333333333333332,Technology Services,Packaged Software,-94.0615719230096,
SAIC,127.55,125.64,127.82,124.38,369013.0,0.6311637080867827,47067608.15,142.6608,81.08,5344043524.128204,25.7365391127667,14.898960401822215,3.730570614978204,22.809551319083383,0.5777097979417661,2026-09-08,57.3,77.84,142.66,318.88,11.8,5344.0,20.0,70.0,64.8,23.4,0.0,⚠️ ELENDİ (ZOMBİ VEYA PRİMLİ),0.0,2.887795434379284,0.4251633729627525,Technology Services,Information Technology Services,7.82221021345582,
ABG,212.91,223.49,223.5,211.215,226887.0,-2.002209334437998,48306511.17,258.745,172.01,3822142690.197459,13.2334225085063,7.960918921344281,0.9742102644177149,-17.039432668329173,1.3291712092870396,2026-09-08,23.8,165.13,258.75,532.27,21.5,3822.1,90.0,70.0,13.3,46.5,0.0,NÖTR,0.0,-1.256840738335965,1.2266438453858146,Retail Trade,Specialty Stores,5.0845665961945,
